Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP
"Moustakas, M",MIL,2B,143,523,80,133,30,1,35,87,53,98,0.254,0.329
"Adames, W",TB,SS,152,531,69,135,25,1,20,52,46,153,0.254,0.317
"Longoria, E",SF,3B,129,453,59,115,19,2,20,69,43,112,0.254,0.325
"Chavis, M",BOS,2B,95,347,46,88,10,1,18,58,31,127,0.254,0.322
"Ahmed, N",ARI,SS,158,556,79,141,33,6,19,82,52,113,0.254,0.316
"Gonzalez, E",PIT,SS,53,142,15,36,4,1,1,6,9,37,0.254,0.301
"Cron, C",MIN,1B,125,458,51,116,24,0,25,78,29,107,0.253,0.311
"Gallo, J",TEX,CF,70,241,54,61,15,1,22,49,52,114,0.253,0.389
"Smith, W",LAD,C,54,170,30,43,9,0,15,42,18,52,0.253,0.337
"Santana, D",SEA,LF,121,451,63,114,20,1,21,69,50,164,0.253,0.329
"Sanchez, Y",CWS,2B,149,496,59,125,20,4,2,43,44,117,0.252,0.318
"Difo, W",WSH,2B,43,131,15,33,2,0,2,8,12,29,0.252,0.315
"Kepler, M",MIN,RF,134,524,98,132,32,0,36,90,60,99,0.252,0.336
"Duffy, M",TB,3B,46,147,12,37,8,0,1,12,19,29,0.252,0.343
"Moreland, M",BOS,1B,91,298,48,75,17,1,19,58,34,74,0.252,0.328
"Heyward, J",CHC,RF,147,513,78,129,20,4,21,62,68,110,0.251,0.343
"Smith, K",LAA,C,67,191,21,48,12,0,5,20,16,37,0.251,0.318
"Casali, C",CIN,C,84,207,24,52,9,0,8,32,25,59,0.251,0.331
"D'Arnaud, T",TB,C,103,351,52,88,16,0,16,69,32,85,0.251,0.312
"Frazier, T",NYM,3B,133,447,63,112,19,2,21,67,40,106,0.251,0.329
"Swanson, D",ATL,SS,127,483,77,121,26,3,17,65,51,124,0.251,0.325
"Muncy, M",LAD,1B,141,487,101,122,22,1,35,98,90,149,0.251,0.374
"Gardner, B",NYY,CF,141,491,86,123,26,7,28,74,52,108,0.251,0.325
"Goins, R",CWS,2B,52,144,13,36,6,1,2,10,17,44,0.25,0.333
"Hernandez, M",BOS,3B,61,148,18,37,7,0,2,11,3,42,0.25,0.279
"Locastro, T",ARI,LF,91,212,38,53,12,2,1,17,14,44,0.25,0.357
"McMahon, R",COL,2B,141,480,70,120,22,1,24,83,56,160,0.25,0.329
"Schwarber, K",CHC,LF,155,529,82,132,29,3,38,92,70,156,0.25,0.339
"DeShields, D",TEX,CF,118,357,42,89,15,4,4,32,38,100,0.249,0.325
"Piscotty, S",OAK,RF,93,357,46,89,17,1,13,44,29,84,0.249,0.309
"Severino, P",BAL,C,96,305,37,76,13,0,13,44,29,73,0.249,0.321
"McCann, B",ATL,C,85,277,28,69,9,0,12,45,31,53,0.249,0.323
"Naylor, J",SD,RF,94,253,29,63,15,0,8,32,25,64,0.249,0.315
"Reyes, F",CLE,RF,150,494,69,123,19,0,37,81,47,156,0.249,0.31
"Pederson, J",LAD,LF,149,450,83,112,16,3,36,74,50,111,0.249,0.339
"Chapman, M",OAK,3B,156,583,102,145,36,3,36,91,73,147,0.249,0.342
"Goodrum, N",DET,LF,112,423,61,105,27,5,12,45,46,138,0.248,0.322
"Dixon, B",DET,1B,117,391,41,97,20,4,15,52,21,136,0.248,0.29
"Puello, C",MIA,LF,44,125,14,31,5,0,4,18,10,38,0.248,0.356
"Gamel, B",MIL,LF,134,311,47,77,18,0,7,33,40,104,0.248,0.337
"Garcia, G",SD,2B,134,311,52,77,13,4,4,31,53,83,0.248,0.364
"Hampson, G",COL,2B,105,299,40,74,9,4,8,27,24,88,0.247,0.302
"Thames, E",MIL,1B,149,396,67,98,23,2,25,61,51,140,0.247,0.346
"Sano, M",MIN,3B,105,380,76,94,19,2,34,79,55,159,0.247,0.346
"Inciarte, E",ATL,CF,65,199,30,49,11,2,5,24,26,41,0.246,0.343
"Cuthbert, C",KC,3B,87,309,24,76,14,0,9,40,19,67,0.246,0.294
"Grandal, Y",MIL,C,153,513,79,126,26,2,28,77,109,139,0.246,0.38
"Lugo, D",DET,3B,77,273,28,67,11,4,6,26,8,59,0.245,0.271
"Kelly, C",ARI,C,111,314,46,77,19,0,18,47,48,79,0.245,0.348
"Kipnis, J",CLE,2B,121,458,52,112,23,1,17,65,40,88,0.245,0.304
"Pujols, A",LAA,1B,131,491,55,120,22,0,23,93,43,68,0.244,0.305
"Panik, J",NYM,2B,142,438,50,107,21,2,5,39,43,47,0.244,0.315
"Encarnacion, E",NYY,1B,109,418,81,102,18,0,34,86,58,103,0.244,0.344
"Nunez, R",BAL,3B,151,541,72,132,24,0,31,90,44,143,0.244,0.311
"Engel, A",CWS,CF,89,227,26,55,10,2,6,26,14,78,0.242,0.304
"Polanco, G",PIT,RF,42,153,23,37,8,1,6,17,12,49,0.242,0.301
"Hechavarria, A",ATL,2B,84,203,34,49,12,1,9,33,14,48,0.241,0.299
"Ozuna, M",STL,LF,130,485,80,117,23,1,29,89,62,114,0.241,0.328
"Diaz, E",PIT,C,101,303,31,73,14,0,2,28,23,56,0.241,0.296
"Smith Jr, D",BAL,LF,101,357,46,86,16,3,13,53,26,82,0.241,0.297
"Grossman, R",OAK,LF,138,420,57,101,21,3,6,38,59,86,0.24,0.334
"Pinder, C",OAK,LF,124,341,45,82,21,0,13,47,20,88,0.24,0.29
"Lopez, N",KC,2B,103,379,44,91,22,2,2,30,18,51,0.24,0.276
"Peraza, J",CIN,2B,141,376,37,90,18,2,6,33,17,58,0.239,0.285
"Seager, K",SEA,3B,106,393,55,94,19,1,23,63,44,86,0.239,0.321
"Myers, W",SD,LF,155,435,58,104,22,1,18,53,51,168,0.239,0.321
"Perez, R",CLE,C,119,389,46,93,9,1,24,63,45,127,0.239,0.321
"Phegley, J",OAK,C,106,314,44,75,18,0,12,62,15,63,0.239,0.282
"Fowler, D",STL,RF,150,487,69,116,24,1,19,67,74,142,0.238,0.346
"Gallagher, C",KC,C,45,126,14,30,7,0,3,12,11,28,0.238,0.312
"Rengifo, L",LAA,2B,108,357,44,85,18,3,7,33,40,93,0.238,0.321
"Slater, A",SF,LF,68,168,20,40,9,3,5,21,22,59,0.238,0.333
"Stewart, D",BAL,RF,44,126,15,30,6,0,4,15,14,26,0.238,0.317
"Dozier, B",WSH,2B,135,416,54,99,20,0,20,50,61,105,0.238,0.34
"Chirinos, R",HOU,C,114,366,57,87,22,1,17,58,51,125,0.238,0.347
"Gregorius, D",NYY,SS,82,324,47,77,14,2,16,61,17,53,0.238,0.276
"Kiner-Falefa, I",TEX,3B,65,202,23,48,12,1,1,21,14,49,0.238,0.299
"Russell, A",CHC,2B,82,215,25,51,4,1,9,23,20,58,0.237,0.308
"Beckham, T",SEA,SS,88,304,39,72,21,1,15,47,21,102,0.237,0.293
"VanMeter, J",CIN,LF,95,228,33,54,13,1,8,23,29,56,0.237,0.327
"Hernandez, K",LAD,2B,130,414,57,98,19,1,17,64,36,97,0.237,0.304
"Healy, R",SEA,3B,47,169,24,40,16,0,7,26,13,40,0.237,0.289
"Almora Jr., A",CHC,CF,130,339,41,80,11,1,12,32,16,62,0.236,0.271
"Aguilar, J",TB,1B,131,314,39,74,12,0,12,50,43,81,0.236,0.325
"Hicks, A",NYY,CF,59,221,41,52,10,0,12,36,31,72,0.235,0.325
"Jones, J",DET,CF,88,298,39,70,19,3,11,26,27,94,0.235,0.31
"Biggio, C",TOR,2B,100,354,66,83,17,2,16,48,71,123,0.234,0.364
"Franco, M",PHI,3B,123,389,48,91,17,0,17,56,36,61,0.234,0.297
"Belt, B",SF,1B,156,526,76,123,32,3,17,57,83,127,0.234,0.339
"Duggar, S",SF,RF,73,261,26,61,12,2,4,28,16,78,0.234,0.278
"France, T",SD,3B,69,184,20,43,8,1,7,24,9,49,0.234,0.294
"Margot, M",SD,CF,151,398,59,93,19,3,12,37,38,88,0.234,0.304
"Parra, G",WSH,LF,119,274,38,64,14,1,9,48,19,59,0.234,0.293
"DeJong, P",STL,SS,159,583,97,136,31,1,30,78,62,149,0.233,0.318
"Stewart, C",DET,LF,104,369,32,86,25,1,10,40,34,103,0.233,0.305
"Marisnick, J",HOU,CF,120,292,46,68,16,3,10,34,17,95,0.233,0.289
"Camargo, J",ATL,3B,98,232,31,54,12,1,7,32,15,43,0.233,0.279
"Prado, M",MIA,1B,104,245,26,57,9,0,2,15,12,41,0.233,0.265
"Ruiz, R",BAL,3B,127,370,35,86,13,2,12,46,40,88,0.232,0.306
"Sanchez, G",NYY,C,106,396,62,92,12,1,34,77,40,125,0.232,0.316
"Grichuk, R",TOR,CF,151,586,75,136,29,5,31,80,35,163,0.232,0.28
"Lucroy, J",CHC,C,101,293,30,68,10,1,8,36,27,51,0.232,0.305
"Castro, J",MIN,C,79,237,39,55,9,0,13,30,33,88,0.232,0.332
"Calhoun, K",LAA,RF,152,552,92,128,29,1,33,74,70,162,0.232,0.325
"Wendle, J",TB,2B,75,238,32,55,13,2,3,19,14,47,0.231,0.293
"Barnhart, T",CIN,C,114,316,32,73,14,0,11,40,44,83,0.231,0.328
"Grisham, T",MIL,RF,51,156,24,36,6,2,6,24,20,48,0.231,0.328
"Hernandez, T",TOR,LF,125,417,58,96,19,2,26,65,45,153,0.23,0.306
"Castro, W",DET,SS,30,100,10,23,6,1,1,8,6,34,0.23,0.284
"Dyson, J",ARI,CF,130,400,65,92,11,2,7,27,47,86,0.23,0.313
"Farmer, K",CIN,2B,97,183,22,42,6,0,9,27,10,59,0.23,0.279
"Allen, G",CLE,LF,89,231,30,53,9,3,4,27,11,53,0.229,0.29
"Tilson, C",CWS,RF,54,144,16,33,5,0,1,12,10,38,0.229,0.293
"Flowers, T",ATL,C,85,271,36,62,11,3,11,34,31,105,0.229,0.319
"Perez, H",MIL,2B,91,232,29,53,11,0,8,18,11,66,0.228,0.262
"Kiermaier, K",TB,CF,129,447,60,102,20,7,14,55,26,104,0.228,0.278
"Crawford, B",SF,SS,147,500,58,114,24,2,11,59,53,117,0.228,0.304
"Pina, M",MIL,C,76,158,10,36,8,0,7,25,16,50,0.228,0.313
"Nunez, E",BOS,2B,60,167,13,38,7,0,2,20,4,27,0.228,0.243
"Smith, M",SEA,CF,134,510,70,116,19,9,6,37,42,141,0.227,0.3
"Forsythe, L",TEX,1B,101,317,38,72,17,1,7,39,44,100,0.227,0.325
"Tellez, R",TOR,1B,111,370,49,84,19,0,21,54,29,116,0.227,0.293
"Hoskins, R",PHI,1B,160,570,86,129,33,5,29,85,116,173,0.226,0.364
"Riley, A",ATL,LF,80,274,41,62,11,1,18,49,16,108,0.226,0.279
"Rickard, J",SF,RF,68,168,14,38,9,2,3,10,18,50,0.226,0.312
"Crawford, J",SEA,SS,93,345,43,78,21,4,7,46,43,83,0.226,0.313
"Carpenter, M",STL,3B,129,416,59,94,20,2,15,46,63,129,0.226,0.334
"Adams, M",WSH,1B,111,310,42,70,14,0,20,56,20,115,0.226,0.276
"Bauers, J",CLE,LF,117,372,46,84,16,1,12,43,45,115,0.226,0.312
"Gennett, S",SF,2B,42,133,15,30,7,0,2,11,2,41,0.226,0.245
"Heredia, G",TB,CF,89,204,31,46,13,0,5,20,18,60,0.225,0.306
"Wilkerson, S",BAL,CF,117,329,41,74,18,2,10,35,22,108,0.225,0.286
"Demeritte, T",DET,LF,48,169,24,38,7,2,3,10,14,63,0.225,0.286
"Dean, A",MIA,LF,64,178,17,40,14,0,6,21,9,47,0.225,0.261
"Bradley Jr., J",BOS,CF,147,494,69,111,28,3,21,62,56,155,0.225,0.317
"Urias, L",SD,2B,71,215,27,48,8,1,4,24,25,56,0.223,0.329
"Rodriguez, S",PHI,SS,76,112,24,25,5,0,4,12,19,41,0.223,0.348
"Gomes, Y",WSH,C,97,314,36,70,16,0,12,43,38,84,0.223,0.316
"Arcia, O",MIL,SS,152,494,51,110,16,1,15,59,43,109,0.223,0.283
"Herrera, O",PHI,CF,39,126,12,28,10,1,1,16,11,33,0.222,0.288
"Iannetta, C",COL,C,52,144,20,32,10,0,6,21,18,54,0.222,0.311
"Plawecki, K",CLE,C,59,158,13,35,10,0,3,17,12,31,0.222,0.287
"Cordell, R",CWS,RF,97,217,22,48,8,0,7,24,19,69,0.221,0.29
"Nimmo, B",NYM,CF,69,199,34,44,11,1,8,29,46,71,0.221,0.375
"Rodriguez, R",DET,SS,84,276,29,61,12,3,14,43,13,82,0.221,0.252
"Davis, K",OAK,LF,133,481,61,106,11,0,23,73,47,146,0.22,0.293
"Martin, R",LAD,C,83,209,29,46,5,0,6,20,30,60,0.22,0.337
"Peterson, J",BAL,3B,29,100,14,22,3,1,2,11,6,24,0.22,0.269
"Haniger, M",SEA,RF,63,246,46,54,13,1,15,32,30,81,0.22,0.314
"Guzman, R",TEX,1B,87,256,34,56,20,0,10,36,32,87,0.219,0.308
"Hamilton, B",ATL,CF,119,316,41,69,14,2,0,15,32,87,0.218,0.289
"Profar, J",OAK,2B,139,459,65,100,24,2,20,67,48,75,0.218,0.301
"Drury, B",TOR,3B,120,418,43,91,21,1,15,41,25,113,0.218,0.262
"Rojas, J",ARI,3B,41,138,17,30,7,0,2,16,18,41,0.217,0.312
"Kinsler, I",SD,2B,87,258,28,56,12,0,9,22,19,54,0.217,0.278
"Bruce, J",PHI,RF,98,310,43,67,17,0,26,59,19,82,0.216,0.261
"Renfroe, H",SD,LF,140,440,64,95,19,1,33,64,46,154,0.216,0.289
"Travis, S",BOS,1B,59,144,17,31,4,1,6,16,11,36,0.215,0.274
"Beckham, G",DET,SS,83,223,29,48,13,2,6,15,13,68,0.215,0.271
"McKinney, B",TOR,LF,84,251,37,54,14,1,12,28,19,73,0.215,0.274
"Starling, B",KC,CF,56,186,26,40,7,0,4,12,9,56,0.215,0.255
"Upton, J",LAA,LF,63,219,34,47,8,0,12,40,32,78,0.215,0.309
"Wieters, M",STL,C,67,168,15,36,4,0,11,27,12,47,0.214,0.268
"Knapp, A",PHI,C,74,136,12,29,9,0,2,8,18,51,0.213,0.318
"Maldonado, M",HOU,C,105,333,46,71,19,0,12,27,32,86,0.213,0.293
"Lagares, J",NYM,CF,133,258,38,55,12,1,5,27,22,75,0.213,0.279
"Quinn, R",PHI,CF,44,108,18,23,3,1,4,11,12,34,0.213,0.298
"Cervelli, F",ATL,C,48,141,15,30,8,1,3,12,13,41,0.213,0.302
"Robertson, D",TB,3B,74,207,23,44,9,1,2,19,24,59,0.213,0.312
"Kemp, T",CHC,CF,110,245,31,52,9,4,8,29,23,47,0.212,0.291
"Thaiss, M",LAA,1B,53,147,17,31,7,0,8,23,17,52,0.211,0.293
"Tucker, C",PIT,SS,56,147,16,31,10,3,2,13,10,40,0.211,0.266
"Viloria, M",KC,C,42,133,7,28,7,0,1,15,10,44,0.211,0.259
"Hicks, J",DET,C,95,319,29,67,15,0,13,35,13,109,0.21,0.24
"Sisco, C",BAL,C,59,167,29,35,7,0,8,20,22,61,0.21,0.333
"Castillo, W",CWS,C,72,230,19,48,12,0,12,41,16,74,0.209,0.267
"Martin, R",BAL,SS,120,283,29,59,8,3,6,23,14,83,0.208,0.26
"White, T",LAD,1B,83,240,18,50,14,0,3,23,36,78,0.208,0.308
"Vogelbach, D",SEA,1B,144,462,73,96,17,0,30,76,92,149,0.208,0.341
"Smoak, J",TOR,1B,121,414,54,86,16,0,22,61,79,106,0.208,0.342
"Jansen, D",TOR,C,107,347,41,72,12,1,13,43,31,79,0.207,0.279
"Avila, A",ARI,C,63,164,22,34,8,0,9,24,36,68,0.207,0.353
"Moore, D",SEA,3B,113,247,31,51,14,2,9,28,25,93,0.206,0.302
"Odor, R",TEX,2B,145,522,77,107,30,1,30,93,52,178,0.205,0.283
"Bader, H",STL,CF,128,347,54,71,14,3,12,39,46,117,0.205,0.314
"Candelario, J",DET,3B,94,335,33,68,17,2,8,32,43,99,0.203,0.306
"Barnes, A",LAD,C,75,212,28,43,12,1,5,25,23,56,0.203,0.293
"Reyes, P",PIT,LF,71,143,18,29,7,2,2,19,13,36,0.203,0.274
"Greiner, G",DET,C,58,208,18,42,5,1,5,19,13,70,0.202,0.251
"Gonzalez, C",CHC,RF,45,145,21,29,3,0,3,10,18,52,0.2,0.289
"Herrera, R",MIA,CF,63,105,10,21,6,0,2,11,11,27,0.2,0.288
"Martin, L",CLE,CF,65,236,32,47,7,0,9,19,21,78,0.199,0.276
"Alonso, Y",COL,1B,121,292,34,58,13,0,10,37,39,70,0.199,0.296
"Arteaga, H",KC,3B,41,122,11,24,4,0,0,4,8,28,0.197,0.258
"Rondon, J",BAL,2B,56,143,10,28,3,0,3,9,11,38,0.196,0.263
"O'Hearn, R",KC,1B,105,328,32,64,13,1,14,38,39,99,0.195,0.281
"Morales, K",NYY,DH,53,170,16,33,2,1,2,12,26,26,0.194,0.313
"Lamb, J",ARI,1B,78,187,26,36,8,2,6,30,32,55,0.193,0.323
"Leon, S",BOS,C,65,172,14,33,3,0,5,19,13,47,0.192,0.251
"Nido, T",NYM,C,50,136,9,26,5,0,4,14,7,37,0.191,0.231
"Riddle, J",MIA,SS,51,132,15,25,6,0,6,12,5,42,0.189,0.23
"Austin, T",MIL,1B,89,154,30,29,5,1,9,24,24,67,0.188,0.296
"Dietrich, D",CIN,2B,113,251,41,47,8,2,19,43,28,74,0.187,0.328
"Fisher, D",TOR,RF,57,146,23,27,4,1,7,17,21,57,0.185,0.287
"Granderson, C",MIA,LF,138,317,44,58,17,1,12,34,41,98,0.183,0.281
"Davis, C",BAL,1B,105,307,26,55,9,0,12,36,39,139,0.179,0.276
"Hedges, A",SD,C,102,312,28,55,9,0,11,36,27,109,0.176,0.252
"Harrison, J",DET,2B,36,137,10,24,7,1,1,8,6,27,0.175,0.218
"Diaz, I",MIA,2B,49,179,17,31,5,2,5,23,19,59,0.173,0.259
"Descalso, D",CHC,2B,82,168,20,29,5,1,2,15,23,57,0.173,0.271
"Brinson, L",MIA,CF,75,226,15,39,9,1,0,15,13,74,0.173,0.236
"Bour, J",LAA,1B,52,151,18,26,5,0,8,26,17,52,0.172,0.259
"Duda, L",ATL,1B,39,105,7,18,4,0,4,15,11,32,0.171,0.252
"Reynolds, M",COL,1B,78,135,13,23,7,0,4,20,22,57,0.17,0.29
"Kang, J",PIT,3B,65,172,15,29,7,1,10,24,11,60,0.169,0.222
"Broxton, K",SEA,CF,100,204,24,34,4,0,6,16,20,104,0.167,0.242
"Zunino, M",TB,C,90,266,30,44,10,1,9,32,20,98,0.165,0.232
"Mathis, J",TEX,C,86,228,17,36,9,0,2,12,15,87,0.158,0.209
"Shaw, T",MIL,3B,86,230,22,36,5,0,7,16,36,89,0.157,0.281
"Williamson, M",SEA,LF,40,128,13,20,1,0,4,17,14,44,0.156,0.25
"Maile, L",TOR,C,44,119,9,18,2,1,2,9,8,33,0.151,0.205
"Williams, N",PHI,LF,67,106,9,16,4,0,2,5,4,43,0.151,0.196
"Owings, C",BOS,2B,66,180,13,25,6,1,3,14,14,78,0.139,0.209
"Stassi, M",LAA,C,51,132,7,18,1,0,1,5,12,49,0.136,0.211
"Rogers, J",DET,C,35,112,11,14,3,0,4,8,13,51,0.125,0.222
